"Date","Price","Open","High","Low","Vol.","Change %"
"21-02-2025","22,795.90","22,857.20","22,921.00","22,720.30","242.75M","-0.51%"
"20-02-2025","22,913.15","22,821.10","22,923.85","22,812.75","240.84M","-0.09%"
"19-02-2025","22,932.90","22,847.25","23,049.95","22,814.85","207.00M","-0.05%"
"18-02-2025","22,945.30","22,963.65","22,992.50","22,801.50","210.62M","-0.06%"
"17-02-2025","22,959.50","22,809.90","22,974.20","22,725.45","207.39M","0.13%"
"14-02-2025","22,929.25","23,096.45","23,133.70","22,774.85","254.48M","-0.44%"
"13-02-2025","23,031.40","23,055.75","23,235.50","22,992.20","265.71M","-0.06%"
"12-02-2025","23,045.25","23,050.80","23,144.70","22,798.35","279.66M","-0.12%"
"11-02-2025","23,071.80","23,383.55","23,390.05","22,986.65","267.97M","-1.32%"
"10-02-2025","23,381.60","23,543.80","23,568.60","23,316.30","234.20M","-0.76%"
"07-02-2025","23,559.95","23,649.50","23,694.50","23,443.20","368.09M","-0.18%"
"06-02-2025","23,603.35","23,761.95","23,773.55","23,556.25","306.98M","-0.39%"
"05-02-2025","23,696.30","23,801.75","23,807.30","23,680.45","267.01M","-0.18%"
"04-02-2025","23,739.25","23,509.90","23,762.75","23,423.15","376.74M","1.62%"
"03-02-2025","23,361.05","23,319.35","23,381.60","23,222.00","329.67M","-0.52%"
"01-02-2025","23,482.15","23,528.60","23,632.45","23,318.30","281.01M","-0.11%"
"31-01-2025","23,508.40","23,296.75","23,546.80","23,277.40","304.86M","1.11%"
"30-01-2025","23,249.50","23,169.50","23,322.05","23,139.20","361.93M","0.37%"
"29-01-2025","23,163.10","23,026.75","23,183.35","22,976.50","226.31M","0.90%"
"28-01-2025","22,957.25","22,960.45","23,137.95","22,857.65","361.87M","0.56%"
"27-01-2025","22,829.15","22,940.15","23,007.45","22,786.90","257.37M","-1.14%"
"24-01-2025","23,092.20","23,183.90","23,347.30","23,050.00","264.34M","-0.49%"
"23-01-2025","23,205.35","23,128.30","23,270.80","23,090.65","275.56M","0.22%"
"22-01-2025","23,155.35","23,099.15","23,169.55","22,981.30","275.95M","0.57%"
"21-01-2025","23,024.65","23,421.65","23,426.30","22,976.85","312.87M","-1.37%"
"20-01-2025","23,344.75","23,290.40","23,391.10","23,170.65","301.46M","0.61%"
"17-01-2025","23,203.20","23,277.10","23,292.10","23,100.35","272.95M","-0.47%"
"16-01-2025","23,311.80","23,377.25","23,391.65","23,272.05","299.42M","0.42%"
"15-01-2025","23,213.20","23,250.45","23,293.65","23,146.45","228.04M","0.16%"
"14-01-2025","23,176.05","23,165.90","23,264.95","23,134.15","311.24M","0.39%"
