name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
AMRK,"A-Mark Precious Metals, Inc.",a-mark-precious-metals,streaming,stock,common,27.18,100,1,false,0,USD,-0.65789474,260319,0.89052263,625661483,USD,13.20250644,2.0587,-54.31608379,2.94334,Finance,america,Finance,1.4
AMRX,"Amneal Pharmaceuticals, Inc.",amneal-pharmaceuticals,streaming,stock,common,8.67,100,1,false,0,USD,3.46062053,2898136,1.8461925,2686351422,USD,,-0.3803,-21.57928389,0,Health technology,america,Health Technology,1.125
AMS,American Shared Hospital Services,american-shared-hospital-services,streaming,stock,common,2.93,100,1,false,0,USD,0.50768386,8054,1.22412378,18810601,USD,4.9103402,0.5967,764.7826087,0,Finance,america,Finance,
AMSC,American Superconductor Corporation,american-superconductor-corporation,streaming,stock,common,22.71,100,1,false,0,USD,2.66726944,841093,0.72410095,896130565,USD,298.81578947,0.076,,0,Producer manufacturing,america,Producer Manufacturing,1
AMSF,"AMERISAFE, Inc.",amerisafe,streaming,stock,common,51.46,100,1,false,0,USD,1.2992126,105784,1.66531543,980311470.9999998,USD,17.77670305,2.8948,-10.42208194,2.87602,Finance,america,Finance,1.75
AMST,Amesite Inc.,amesite,streaming,stock,common,2.4,100,1,false,0,USD,-4,380286,0.08518586,9585857,USD,,-1.7624,-21.8304991,0,Technology services,america,Technology Services,
AMTB,Amerant Bancorp Inc.,amerant-bancorp,streaming,stock,common,22.96,100,1,false,0,USD,1.77304965,188533,1.12801947,966809840.9999998,USD,,-0.5662,-159.15169244,1.56794,Finance,america,Finance,1.5
AMTM,"Amentum Holdings, Inc.",,streaming,stock,common,19.64,100,1,false,0,USD,2.07900208,2080985,1.1348958,4778459560.999999,USD,,,,0,Electronic technology,america,Electronic Technology,1.625
AMTX,"Aemetis, Inc",aemetis,streaming,stock,common,1.8,100,1,false,0,USD,2.27272727,772075,0.89892375,92074683,USD,,-2.2564,-80.52644212,0,Process industries,america,Process Industries,1.5
AMWD,American Woodmark Corporation,american-woodmark,streaming,stock,common,62.08,100,1,false,0,USD,0.2907916,267053,1.47118807,920936049,USD,9.60277193,6.4648,-10.78973878,0,Producer manufacturing,america,Producer Manufacturing,1.5
AMWL,American Well Corporation,american-well,streaming,stock,common,9.96,100,1,false,0,USD,-0.4995005,41288,0.34795448,155475528,USD,,-13.9387,70.87646206,0,Technology services,america,Technology Services,1.9
AMZN,"Amazon.com, Inc.",amazon,streaming,stock,common,212.28,100,1,false,0,USD,1.69588962,51771717,1.30650981,2249685796360,USD,38.44259326,5.522,91.09911406,0,Retail trade,america,Retail Trade,1.131579
AN,"AutoNation, Inc.",autonation,streaming,stock,common,182.37,100,1,false,0,USD,0.87394214,342744,0.87892993,7122749620,USD,10.7628479,16.9444,-25.21934083,0,Retail trade,america,Retail Trade,1.535714
ANAB,"AnaptysBio, Inc.",anaptysbio,streaming,stock,common,16.82,100,1,false,0,USD,2.56097561,911221,0.99798841,515815238,USD,,-5.1974,14.4122781,0,Health technology,america,Health Technology,1.25
ANDE,"The Andersons, Inc.",the-andersons,streaming,stock,common,42.78,100,1,false,0,USD,0.32833021,377823,0.97657651,1455718283,USD,12.83605377,3.3328,13.13734809,1.78822,Commercial services,america,Commercial Services,1
ANEB,"Anebulo Pharmaceuticals, Inc.",anebulo-pharmaceuticals,streaming,stock,common,1.16,100,1,false,0,USD,-3.33333333,4029,0.39598608,47658287.99999999,USD,,-0.2905,28.92096893,0,Health technology,america,Health Technology,1
ANET,"Arista Networks, Inc.",arista-networks,streaming,stock,common,93.05,100,1,false,0,USD,1.61624986,12439428,0.79738319,117347469284,USD,41.80143756,2.226,35.3438317,0,Electronic technology,america,Electronic Technology,1.326923
ANF,Abercrombie & Fitch Company,abercrombie-and-fitch,streaming,stock,common,102.99,100,1,false,0,USD,1.54801814,2414100,1.27789233,5187883060,USD,10.1970297,10.1,152.34859085,0,Retail trade,america,Retail Trade,1.333333
ANGH,Anghami Inc.,anghami,streaming,stock,common,0.69,10000,1,false,0,USD,1.30670973,10262,0.70297783,20499652,USD,,-0.7119,19.06548431,0,Technology services,america,Technology Services,
ANGI,Angi Inc.,angi-homeservices,streaming,stock,common,1.68,100,1,false,0,USD,0,3003352,1.86204387,845625784,USD,22.76422764,0.0738,,0,Technology services,america,Technology Services,1.6
ANGO,"AngioDynamics, Inc.",angiodynamics,streaming,stock,common,9.29,100,1,false,0,USD,-1.58898305,622788,1.25687886,375926440.99999994,USD,,-5.576,-1464.97333708,0,Health technology,america,Health Technology,1
ANIK,Anika Therapeutics Inc.,anika-therapeutics,streaming,stock,common,17.45,100,1,false,0,USD,-1.2450481,59376,1.0289505,255565653.99999997,USD,,-6.6401,-295.83308495,0,Health technology,america,Health Technology,1
ANIP,"ANI Pharmaceuticals, Inc.",ani-pharmaceuticals,streaming,stock,common,61.89,100,1,false,0,USD,13.39318432,714998,3.29414594,1301462428.9999998,USD,,-1.1301,-221.92253749,0,Health technology,america,Health Technology,1.3
ANIX,"Anixa Biosciences, Inc.",anixa-biosciences,streaming,stock,common,3.15,100,1,false,0,USD,2.60586319,81371,0.63883574,101420116,USD,,-0.3936,-24.28165456,0,Health technology,america,Health Technology,1
ANNA,"AleAnna, Inc.",,streaming,stock,common,6.3,100,1,false,0,USD,2.27272727,8810,1.18589312,269705733,USD,,-0.0231,-111.36811024,0,Finance,america,Finance,
ANNX,"Annexon, Inc.",annexon,streaming,stock,common,2.64,100,1,false,0,USD,5.6,1129086,1.08462349,281406867,USD,,-1.0382,45.28878583,0,Health technology,america,Health Technology,1
ANRO,"Alto Neuroscience, Inc.",alto-neuroscience-inc,streaming,stock,common,2.8,100,1,false,0,USD,0.71942446,286068,1.37896992,75516467.00000001,USD,,-2.1334,,0,Health technology,america,Health Technology,1.3125
ANSC,Agriculture & Natural Solutions Acquisition Corporation,agriculture-and-natural-solutions-acquisition,streaming,stock,common,10.57,100,1,false,0,USD,0,656,0.02231748,455831237,USD,55.74894515,0.1896,,0,Finance,america,Finance,
ANSS,"ANSYS, Inc.",ansys,streaming,stock,common,333.25,100,1,false,0,USD,0.87174986,840315,1.45715464,29209955409.999996,USD,50.92762394,6.5436,14.35661733,0,Technology services,america,Technology Services,2.041667
ANTX,"AN2 Therapeutics, Inc.",an2-therapeutics,streaming,stock,common,1.14,100,1,false,0,USD,2.7027027,57118,0.3243242,34061935,USD,,-2.0377,28.82143356,0,Health technology,america,Health Technology,2
ANVS,"Annovis Bio, Inc.",annovis-bio,streaming,stock,common,1.83,100,1,false,0,USD,2.23463687,373383,0.61774184,35659803,USD,,-3.8504,9.73579952,0,Health technology,america,Health Technology,1.166667
ANY,Sphere 3D Corp.,sphere-3d,streaming,stock,common,0.63,10000,1,false,0,USD,2.94117647,215707,0.69442271,16035595,USD,,-0.734,94.44082585,0,Technology services,america,Technology Services,1
AON,Aon plc,aon,streaming,stock,common,409.12,100,1,false,0,USD,1.26732673,1642064,1.48905848,88370374661,USD,32.3174874,12.6594,1.44888048,0.659953,Finance,america,Finance,1.8125
AORT,"Artivion, Inc.",artivion,streaming,stock,common,25.41,100,1,false,0,USD,0.19716088,568539,1.06852004,1065184530,USD,,-0.3218,57.17897538,0,Health technology,america,Health Technology,1
AOS,A.O. Smith Corporation,smith-a-o,streaming,stock,common,66.48,100,1,false,0,USD,0.8189263,1386881,1.02742984,9541812255,USD,18.33981627,3.6249,-1.6496188,1.98556,Producer manufacturing,america,Producer Manufacturing,1.71875
AOSL,Alpha and Omega Semiconductor Limited,alpha-and-omega-semiconductor,streaming,stock,common,30.28,100,1,false,0,USD,0.09917355,605375,1.09503225,890685613,USD,,-0.8018,-26.72672673,0,Electronic technology,america,Electronic Technology,1.666667
AOUT,"American Outdoor Brands, Inc.",american-outdoor-brands,streaming,stock,common,15.9,100,1,false,0,USD,-0.81097941,59052,1.00557518,202946123.00000003,USD,,-0.5873,27.53855645,0,Consumer durables,america,Consumer Durables,1
AP,Ampco-Pittsburgh Corporation,ampco-pittsburgh-series-a,streaming,stock,common,2.08,100,1,false,0,USD,1.96078431,5776,0.26983593,41796121,USD,,-2.2551,-3163.99456522,0,Non-energy minerals,america,Non-Energy Minerals,
APA,APA Corporation,apa-corporation,streaming,stock,common,20.7,100,1,false,0,USD,1.3712047,40477329,4.99206434,7657912470.999999,USD,9.20818505,2.248,-75.76045115,4.83092,Energy minerals,america,Energy Minerals,1.887097
APAM,Artisan Partners Asset Management Inc.,artisan-partners-asset-mgmt,streaming,stock,common,42.22,100,1,false,0,USD,2.27713178,559120,1.2459543,3389968322.0000005,USD,11.84026025,3.5658,15.03693906,7.05827,Finance,america,Finance,2
APCX,AppTech Payments Corp.,apptech-payments,streaming,stock,common,0.419,10000,1,false,0,USD,5.54156171,181900,0.50612159,11583751,USD,,-0.4837,57.93547265,0,Finance,america,Finance,
APD,"Air Products and Chemicals, Inc.",air-products-and-chemicals,streaming,stock,common,316.15,100,1,false,0,USD,1.19714478,1375104,1.25481264,70335684081.00002,USD,18.36106513,17.2185,64.64114284,2.23944,Process industries,america,Process Industries,1.461538
APDN,"Applied DNA Sciences, Inc.",applied-dna-sciences,streaming,stock,common,0.1417,10000,1,false,0,USD,-0.63113604,1555985,0.67110616,7820214,USD,,-5.7174,47.97728886,0,Health technology,america,Health Technology,2
APEI,"American Public Education, Inc.",american-public-education,streaming,stock,common,21.16,100,1,false,0,USD,1.92678227,71353,0.85736601,374787044.99999994,USD,37.88719785,0.5585,,0,Consumer services,america,Consumer Services,1.666667
APG,APi Group Corporation,api-group,streaming,stock,common,39.27,100,1,false,0,USD,1.47286822,3617966,1.73013487,11056785732,USD,,-0.9389,-27.44672187,0,Industrial services,america,Industrial Services,1.272727
APGE,"Apogee Therapeutics, Inc.",apogee-therapeutics,streaming,stock,common,31.44,100,1,false,0,USD,2.98067475,684994,1.18718563,1839654917,USD,,-2.7273,,0,Health technology,america,Health Technology,1
APH,Amphenol Corporation,amphenol,streaming,stock,common,66.6,100,1,false,0,USD,1.74152154,10480945,1.40505026,80658004524,USD,34.72548099,1.9179,23.48055627,0.825826,Electronic technology,america,Electronic Technology,1.5
APLD,Applied Digital Corporation,applied-digital,streaming,stock,common,8,100,1,false,0,USD,2.17113665,45835295,1.11856061,1783227783,USD,,-1.7307,-390.70031188,0,Technology services,america,Technology Services,1
APLM,Apollomics Inc.,,streaming,stock,common,6.2,100,1,false,0,USD,-4.61538462,1598,0.36575038,6836523,USD,,-0.6203,-911.908646,0,Finance,america,Finance,
APLS,"Apellis Pharmaceuticals, Inc.",apellis-pharmaceuticals,streaming,stock,common,25.15,100,1,false,0,USD,-3.26923077,2958362,1.77458104,3128484230,USD,,-1.5985,64.32238193,0,Health technology,america,Health Technology,1.447368
APLT,"Applied Therapeutics, Inc.",applied-therapeutics,streaming,stock,common,0.5084,10000,1,false,0,USD,-0.35280282,3075367,0.96107943,59155635,USD,,,,0,Health technology,america,Health Technology,1.7
APM,Aptorum Group Limited,aptorum-limited,streaming,stock,common,0.95,10000,1,false,0,USD,-5,32064,0.43689162,6786569,USD,50.80213904,0.0187,,0,Health technology,america,Health Technology,
APO,"Apollo Global Management, Inc. (New)",apollo,streaming,stock,common,149.27,100,1,false,0,USD,1.24118285,4825946,1.40212472,85155612897,USD,20.64163728,7.2315,-13.77419009,1.23936,Finance,america,Finance,1.272727
APOG,"Apogee Enterprises, Inc.",apogee-enterprises,streaming,stock,common,47.94,100,1,false,0,USD,1.48179509,283063,1.18267462,1052444212.0000002,USD,10.71859768,4.4726,-4.87472883,2.1068,Producer manufacturing,america,Producer Manufacturing,1.5
APP,Applovin Corporation,applovin,streaming,stock,common,325.74,100,1,false,0,USD,1.63811663,9099588,0.72722504,110737988839,USD,71.7394177,4.5406,353.01805847,0,Technology services,america,Technology Services,1.351852
APPF,"AppFolio, Inc.",appfolio,streaming,stock,common,214.5,100,1,false,0,USD,1.35135135,328887,1.17170274,7808819028.999999,USD,38.63333453,5.5522,18531.54362416,0,Technology services,america,Technology Services,1.611111
APPN,Appian Corporation,appian-corporation,streaming,stock,common,32.47,100,1,false,0,USD,0.24698981,334220,0.42326314,2404309831,USD,,-1.2656,17.05878498,0,Technology services,america,Technology Services,2
APPS,"Digital Turbine, Inc.",digital-turbine,streaming,stock,common,3.43,100,1,false,0,USD,-4.18994413,5562610,0.82304622,360173376.00000006,USD,,-3.0295,-54.08677076,0,Technology services,america,Technology Services,1.75
APRE,"Aprea Therapeutics, Inc.",aprea-therapeutics,streaming,stock,common,2.5336,100,1,false,0,USD,1.344,7579,0.27322641,13769870,USD,,-2.8123,86.90076947,0,Health technology,america,Health Technology,1
APT,"Alpha Pro Tech, Ltd.",alpha-pro-tech,streaming,stock,common,5.4,100,1,false,0,USD,0.55865922,27977,0.61883422,59392982,USD,14.74604042,0.3662,19.08943089,0,Process industries,america,Process Industries,
APTO,"Aptose Biosciences, Inc.",aptose-biosciences,streaming,stock,common,3.19,100,1,false,0,USD,-1.84615385,39471,0.05213726,6837356.73853211,USD,,-91.86177176,60.79338803,0,Health technology,america,Health Technology,1
APTV,Aptiv PLC,aptiv,streaming,stock,common,65.12,100,1,false,0,USD,-0.30618494,5230125,1.89078788,14941548935.999998,USD,9.47131118,6.8755,-33.58416568,0,Producer manufacturing,america,Producer Manufacturing,1.326087
APVO,Aptevo Therapeutics Inc.,aptevo-therapeutics,streaming,stock,common,3.82,100,1,false,0,USD,6.40668524,59607,1.07541257,5571260,USD,,-452.2643,83.03996812,0,Health technology,america,Health Technology,1
APWC,Asia Pacific Wire & Cable Corporation Limited,asia-pacific-wire-cable,streaming,stock,common,1.51,100,1,false,0,USD,-1.30718954,3095,0.51285025,31130501,USD,,,,0,Electronic technology,america,Electronic Technology,
APYX,Apyx Medical Corporation,apyx-medicalrporation,streaming,stock,common,1.45,100,1,false,0,USD,5.07246377,122615,6.87219065,54583637,USD,,-0.821,-87.48572734,0,Health technology,america,Health Technology,1.75
AQB,"AquaBounty Technologies, Inc.",aquabounty,streaming,stock,common,0.728,10000,1,false,0,USD,-0.2739726,55436,1.7408125,2814286,USD,,-19.0548,-174.16189462,0,Health technology,america,Health Technology,
AQMS,"Aqua Metals, Inc.",aqua-metals,streaming,stock,common,1.97,100,1,false,0,USD,1.54639175,31953,0.30881892,14049619,USD,,-4.662,-11.84684036,0,Non-energy minerals,america,Non-Energy Minerals,
AQST,"Aquestive Therapeutics, Inc.",aquestive-therapeutics,streaming,stock,common,2.8,100,1,false,0,USD,2.94117647,835495,0.38367416,255298934,USD,,-0.4492,-79.5363709,0,Health technology,america,Health Technology,1.055556
AR,Antero Resources Corporation,antero-resources,streaming,stock,common,36.7,100,1,false,0,USD,3.14783586,4813471,1.00102849,11420305968.999998,USD,203.32409972,0.1805,-76.59795151,0,Energy minerals,america,Energy Minerals,1.538462
ARAY,Accuray Incorporated,accuray,streaming,stock,common,2.01,100,1,false,0,USD,0.5,683415,0.96844654,206689345,USD,,-0.0454,69.65240642,0,Health technology,america,Health Technology,1
ARBB,ARB IOT Group Limited,arb-iot-limited,streaming,stock,common,0.652,10000,1,false,0,USD,35.83333333,59082045,42.57995086,17237300,USD,,-0.5277,-341.28943759,0,Technology services,america,Technology Services,
ARBE,Arbe Robotics Ltd.,arbe,streaming,stock,common,1.85,100,1,false,0,USD,-2.63157895,3229237,0.66268488,176488537.00000003,USD,,-0.5886,13.31369661,0,Producer manufacturing,america,Producer Manufacturing,1
ARCB,ArcBest Corporation,arcbest-corporation,streaming,stock,common,78.77,100,1,false,0,USD,-0.32898899,508868,1.4388158,1843183486,USD,10.78479696,7.3038,42.75550691,0.609369,Transportation,america,Transportation,1.653846
ARCC,Ares Capital Corporation,ares-capital,streaming,stock,common,23.38,100,1,false,0,USD,1.12456747,3865979,1.11847989,15699239908.999998,USD,9.55065359,2.448,-7.76881923,8.21215,Finance,america,Finance,1.25
ARCO,Arcos Dorados Holdings Inc.,arcos-dorados,streaming,stock,common,7.65,100,1,false,0,USD,-3.89447236,1396588,1.10558043,1611572394,USD,11.02782182,0.6937,-18.81802224,3.13726,Consumer services,america,Consumer Services,1.125
ARCT,Arcturus Therapeutics Holdings Inc.,arcturus-therapeutics,streaming,stock,common,16.79,100,1,false,0,USD,4.54545455,388095,0.83786381,454796774.00000006,USD,,-2.2131,-161.23685667,0,Health technology,america,Health Technology,1
ARDT,"Ardent Health Partners, Inc.",ardent-health-partners,streaming,stock,common,14.66,100,1,false,0,USD,-3.29815303,726478,1.29948663,2092715202,USD,9.95382944,1.4728,290.04237288,0,Health services,america,Health Services,1.2
ARDX,"Ardelyx, Inc.",ardelyx,streaming,stock,common,5.36,100,1,false,0,USD,2.68199234,3645712,0.8682374,1277589352,USD,,-0.1683,44.61994077,0,Health technology,america,Health Technology,1.222222
AREB,"American Rebel Holdings, Inc.",american-rebel,streaming,stock,common,0.689,10000,1,false,0,USD,4.95049505,663191,2.30693185,1863266,USD,,-24.5722,16.96252665,0,Consumer non-durables,america,Consumer Non-Durables,
AREC,American Resources Corporation,american-res,streaming,stock,common,0.643,10000,1,false,0,USD,12.80701754,15207047,9.74793834,49781868.99999999,USD,,-0.4276,-444.28341385,0,Energy minerals,america,Energy Minerals,1
AREN,"The Arena Group Holdings, Inc.",the-arena,streaming,stock,common,1.61,100,1,false,0,USD,1.25786164,13272,0.29705497,76419861,USD,,-4.3149,-37.58370002,0,Technology services,america,Technology Services,
ARES,Ares Management Corporation,ares-management,streaming,stock,common,170.94,100,1,false,0,USD,2.28578267,2118628,1.66967271,34890099718.99999,USD,84.67825829,2.0187,-17.00448136,2.1762,Finance,america,Finance,1.444444
ARHS,"Arhaus, Inc.",arhaus,streaming,stock,common,9.52,100,1,false,0,USD,1.60085379,3375826,1.36355062,1338331517.9999998,USD,19.54022989,0.4872,-45.50945084,0,Consumer durables,america,Consumer Durables,1.642857
ARIS,"Aris Water Solutions, Inc.",aris-water-solutions,streaming,stock,common,31.46,100,1,false,0,USD,1.5493867,1200102,1.45811271,1839318284,USD,38.95492818,0.8076,36.90456009,1.28735,Utilities,america,Utilities,1.590909
ARKO,ARKO Corp.,arkorp,streaming,stock,common,4.51,100,1,false,0,USD,-0.22123894,1679530,1.30613002,522128663.99999994,USD,35.15198753,0.1283,-45.84212748,2.66075,Retail trade,america,Retail Trade,1.75
ARKR,Ark Restaurants Corp.,ark-restaurants,streaming,stock,common,10.85,100,1,false,0,USD,0,1190,0.27668627,39105105,USD,,-0.5861,66.64010473,6.91244,Consumer services,america,Consumer Services,
ARL,"American Realty Investors, Inc.",american-realty-investors,streaming,stock,common,15.4,100,1,false,0,USD,4.54854039,1844,0.60096467,248741447.00000003,USD,,-1.0318,-134.30756442,0,Finance,america,Finance,
ARLO,"Arlo Technologies, Inc.",arlo,streaming,stock,common,14.38,100,1,false,0,USD,20.63758389,2927186,4.11835226,1473057515,USD,,-0.3111,-27.65695527,0,Electronic technology,america,Electronic Technology,1.2
ARLP,"Alliance Resource Partners, L.P.",alliance-resource-partners-lp,streaming,stock,common,26.24,100,1,false,0,USD,-2.16256525,624838,2.04127716,3369951328,USD,9.46335834,2.7728,-42.34863606,10.6707,Energy minerals,america,Energy Minerals,1
ARMK,Aramark,aramark,streaming,stock,common,37.05,100,1,false,0,USD,1.61821174,1624609,0.74978049,9822134801,USD,29.18471839,1.2695,-46.86950699,1.07962,Consumer services,america,Consumer Services,1.142857
ARMP,"Armata Pharmaceuticals, Inc.",armata-pharmaceuticals,streaming,stock,common,1.9853,100,1,false,0,USD,-4.55288462,4756,0.34589342,71834242,USD,,-1.6413,0.52727273,0,Health technology,america,Health Technology,1
AROC,"Archrock, Inc.",archrock,streaming,stock,common,27.12,100,1,false,0,USD,1.878287,1930285,1.41476355,4753287488,USD,26.10956003,1.0387,55.84396099,2.56268,Industrial services,america,Industrial Services,1.0625
AROW,Arrow Financial Corporation,arrow,streaming,stock,common,27.03,100,1,false,0,USD,1.00896861,28457,0.82265399,452454675,USD,15.25222887,1.7722,0.41931097,4.06955,Finance,america,Finance,2
ARQ,"Arq, Inc.",advanced-emissions-solutions,streaming,stock,common,5.22,100,1,false,0,USD,0.77220077,312782,1.69613105,219407477,USD,,-0.0065,99.15595377,0,Process industries,america,Process Industries,1
ARQQ,Arqit Quantum Inc.,,streaming,stock,common,12.71,100,1,false,0,USD,1.2749004,157516,0.40687279,162010719,USD,,-7.7644,27.83947806,0,Technology services,america,Technology Services,1
ARQT,"Arcutis Biotherapeutics, Inc.",arcutis-biotherapeutics,streaming,stock,common,13.69,100,1,false,0,USD,6.953125,2606051,1.08225172,1624157415,USD,,-1.163,70.22758109,0,Health technology,america,Health Technology,1.125
ARRY,"Array Technologies, Inc.",array-technologies,streaming,stock,common,5.28,100,1,false,0,USD,-19.38931298,25463403,5.99883286,802258954.9999999,USD,,-1.9491,-462.35359732,0,Electronic technology,america,Electronic Technology,1.543478
ARTL,"Artelo Biosciences, Inc.",artelo-biosciences,streaming,stock,common,1.07,100,1,false,0,USD,1.42180095,19226,0.58399704,3453639,USD,,-2.8447,14.28270106,0,Health technology,america,Health Technology,1
ARTNA,Artesian Resources Corporation,artesian-resources,streaming,stock,common,31.09,100,1,false,0,USD,-0.95571838,32871,0.72703506,320788955,USD,15.97800391,1.9458,23.79437587,3.83982,Utilities,america,Utilities,1
ARTV,"Artiva Biotherapeutics, Inc.",artiva-biotherapeutics,streaming,stock,common,4.15,100,1,false,0,USD,11.26005362,60212,1.0036521,100800712.00000001,USD,,,,0,Health technology,america,Health Technology,1
ARTW,"Art's-Way Manufacturing Co., Inc.",arts-way,streaming,stock,common,1.64,100,1,false,0,USD,-1.20481928,8738,0.28375934,8335233,USD,,-0.075,-239.66480447,0,Producer manufacturing,america,Producer Manufacturing,
ARVN,"Arvinas, Inc.",arvinas,streaming,stock,common,17.7,100,1,false,0,USD,2.54924681,933291,0.68062085,1217262078,USD,,-5.174,7.38221395,0,Health technology,america,Health Technology,1.025
ARW,"Arrow Electronics, Inc.",arrow-electronics,streaming,stock,common,108.07,100,1,false,0,USD,-0.18472338,476139,0.90523992,5638261099.999999,USD,14.85232879,7.2763,-53.92326349,0,Distribution services,america,Distribution Services,2.142857
ARWR,"Arrowhead Pharmaceuticals, Inc.",arrowhead-pharmaceuticals,streaming,stock,common,18.91,100,1,false,0,USD,-0.15839493,1220321,1.00004474,2384515172,USD,,-5.149,-85.81739444,0,Health technology,america,Health Technology,1.357143
AS,"Amer Sports, Inc.",amer-sports-inc,streaming,stock,common,29.89,100,1,false,0,USD,4.65686275,3901314,0.9568969,16330690507,USD,208.43793584,0.1434,,0,Consumer durables,america,Consumer Durables,1.318182
ASAN,"Asana, Inc.",asana,streaming,stock,common,19.25,100,1,false,0,USD,0.20822488,2001379,0.79327275,4402921372,USD,,-1.1227,15.72586699,0,Technology services,america,Technology Services,1.815789
ASB,Associated Banc-Corp,associated-banc-corp,streaming,stock,common,24.85,100,1,false,0,USD,0.56657224,1983473,1.42377312,4131202980,USD,32.20998056,0.7715,-31.39783034,3.58149,Finance,america,Finance,1.944444
ASBP,"Aspire Biopharma Holdings, Inc.",,streaming,stock,common,1.5,100,1,false,0,USD,-10.71428571,194904,0.52794817,11647700,USD,,-0.4315,-325.44409613,0,Health technology,america,Health Technology,
ASC,Ardmore Shipping Corporation,ardmore-shipping,streaming,stock,common,9.06,100,1,false,0,USD,-1.94805195,664270,0.74335186,366524476,USD,2.96126818,3.0595,82.34102151,10.4857,Transportation,america,Transportation,1.4
ASGN,ASGN Incorporated,asgn-incorporated,streaming,stock,common,67.38,100,1,false,0,USD,-0.89719076,911190,1.48256969,2937767777,USD,17.52588046,3.8446,-14.59670791,0,Technology services,america,Technology Services,1.5625
ASH,Ashland Inc.,ashland-global-holdings,streaming,stock,common,60.82,100,1,false,0,USD,-1.10569106,909339,1.42488039,2869661844,USD,,-0.5567,-118.03135324,2.6636,Consumer non-durables,america,Consumer Non-Durables,1.272727
ASIX,AdvanSix Inc.,advansix,streaming,stock,common,27.92,100,1,false,0,USD,0.9035056,175429,1.01661844,746695343,USD,17.25693801,1.6179,-15.06640769,2.29226,Process industries,america,Process Industries,1.25
ASLE,AerSale Corporation,aersale,streaming,stock,common,7,100,1,false,0,USD,-0.28490028,306285,1.18485218,372451435,USD,,-0.0188,-119.30184805,0,Distribution services,america,Distribution Services,1.5
ASMB,"Assembly Biosciences, Inc.",assembly-bio,streaming,stock,common,12.88,100,1,false,0,USD,-0.69390902,10351,0.30114365,81868965,USD,,-7.1446,58.30989532,0,Health technology,america,Health Technology,1.5
ASNS,"Actelis Networks, Inc.",actelis-networks,streaming,stock,common,0.996,10000,1,false,0,USD,-3.30097087,63064,0.29440008,6228700,USD,,-1.2759,65.24664288,0,Electronic technology,america,Electronic Technology,1
ASO,"Academy Sports and Outdoors, Inc.",academy-sports-and-outdoors,streaming,stock,common,49.59,100,1,false,0,USD,-0.66105769,2041995,1.72913924,3441401937.9999995,USD,8.15316574,6.0823,-6.13734568,0.887276,Retail trade,america,Retail Trade,1.547619
ASPC,A SPAC III Acquisition Corp.,,streaming,stock,common,10.04,100,1,false,0,USD,0.1996008,144,0.00196531,81687899.99999999,USD,,,,0,Finance,america,Finance,
ASPI,ASP Isotopes Inc.,asp-isotopes,streaming,stock,common,4.76,100,1,false,0,USD,2.5862069,828338,0.4269655,339816922,USD,,-0.6002,-36.47112324,0,Health technology,america,Health Technology,1
ASPN,"Aspen Aerogels, Inc.",aspen-aerogels,streaming,stock,common,7.61,100,1,false,0,USD,0.79470199,2057662,0.57228406,624470380,USD,48.93890675,0.1555,,0,Process industries,america,Process Industries,1.166667
ASPS,Altisource Portfolio Solutions S.A.,altisource,streaming,stock,common,0.69,10000,1,false,0,USD,-0.10134646,86428,0.45466143,18785962,USD,,-1.4118,49.98405782,0,Finance,america,Finance,
ASRT,"Assertio Holdings, Inc.",assertio,streaming,stock,common,0.7759,10000,1,false,0,USD,-2.90326617,297631,1.0908084,74081224,USD,,-0.7228,64.71392306,0,Health technology,america,Health Technology,1
ASRV,AmeriServ Financial Inc.,ameriserv-financial,streaming,stock,common,2.6,100,1,false,0,USD,1.16731518,2954,0.12496034,42950095,USD,12.34567901,0.2106,,4.61538,Finance,america,Finance,
ASST,Asset Entities Inc.,asset-entities,streaming,stock,common,0.5323,10000,1,false,0,USD,-3.48141432,373162,0.56407268,7399711,USD,,-1.9594,-40.65034814,0,Commercial services,america,Commercial Services,
ASTC,Astrotech Corporation,astrotech,streaming,stock,common,6.54,100,1,false,0,USD,1.71073095,1418,0.42891712,11129308,USD,,-8.1275,-29.95890564,0,Electronic technology,america,Electronic Technology,
ASTE,"Astec Industries, Inc.",astec-industries,streaming,stock,common,35.58,100,1,false,0,USD,-0.75313808,211710,1.16087281,811365510,USD,193.15960912,0.1842,-87.47620343,1.4615,Producer manufacturing,america,Producer Manufacturing,1.5
ASTH,Astrana Health Inc.,apollo-medical,streaming,stock,common,25.38,100,1,false,0,USD,-26.816609,1007200,3.44326577,1246666306.0000002,USD,28.37973834,0.8943,-30.74421126,0,Health services,america,Health Services,1.166667
ASTI,"Ascent Solar Technologies, Inc",ascent-solar,streaming,stock,common,1.96,100,1,false,0,USD,-1.01010101,15057,0.79626222,2596616,USD,,-322.5921,89.70581459,0,Electronic technology,america,Electronic Technology,
ASTL,Algoma Steel Group Inc.,algoma-steel,streaming,stock,common,7.34,100,1,false,0,USD,4.40967283,933894,0.87381502,766465382.2716981,USD,,-1.32400808,-819.47185165,2.58523,Producer manufacturing,america,Producer Manufacturing,1
