name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,recommendation_mark
ACEL,"Accel Entertainment, Inc.",accel-entertainment,streaming,stock,common,10.77,100,1,false,0,USD,-8.02732707,764590,2.22332721,886839021,USD,,,,0,Consumer services,america,Consumer Services,1
ACET,"Adicet Bio, Inc.",adicet-bio,streaming,stock,common,0.8988,10000,1,false,0,USD,4.56026059,638312,1.15351656,74061987,USD,,-1.705,49.12118409,0,Health technology,america,Health Technology,1.25
ACGL,Arch Capital Group Ltd.,arch-capital,streaming,stock,common,92.91,100,1,false,0,USD,0.87947883,2576061,1.48191764,34874442429,USD,8.30213294,11.1911,-3.62635849,0,Finance,america,Finance,1.333333
ACHC,"Acadia Healthcare Company, Inc.",acadia-healthcare,streaming,stock,common,29.98,100,1,false,0,USD,-25.53402881,7806754,6.27879029,2785532901.0000005,USD,10.79815589,2.7764,,0,Health services,america,Health Services,1.230769
ACHR,Archer Aviation Inc.,archer-aviation,streaming,stock,common,8.88,100,1,false,0,USD,12.12121212,55271205,1.33499819,4091661399,USD,,-1.4332,17.43288397,0,Electronic technology,america,Electronic Technology,1.277778
ACHV,"Achieve Life Sciences, Inc.",achieve-life-science,streaming,stock,common,3.07,100,1,false,0,USD,3.36700337,256958,1.66138643,105577131.99999999,USD,,-1.1287,46.26517496,0,Health technology,america,Health Technology,1
ACI,"Albertsons Companies, Inc.",albertsons,streaming,stock,common,21.04,100,1,false,0,USD,1.05667627,4702009,1.15659931,12190141707,USD,11.82620426,1.7791,-23.12246133,2.42395,Retail trade,america,Retail Trade,1.545455
ACIC,American Coastal Insurance Corporation,united-insurance-holdings-corp,streaming,stock,common,12.14,100,1,false,0,USD,-4.33412136,218167,1.33129561,585208228.9999999,USD,7.84288391,1.5479,-77.71073928,0,Finance,america,Finance,1.5
ACIU,AC Immune SA,ac-immune,streaming,stock,common,2.54,100,1,false,0,USD,-0.39215686,228046,1.07066162,253188223.99999997,USD,,-0.4531,48.66304102,0,Health technology,america,Health Technology,1
ACIW,"ACI Worldwide, Inc.",aci-worldwide,streaming,stock,common,57.35,100,1,false,0,USD,5.28731412,1482232,2.21239157,6041021105.000001,USD,29.97282325,1.9134,72.25423118,0,Technology services,america,Technology Services,1.428571
ACLS,"Axcelis Technologies, Inc.",axcelis-technologies,streaming,stock,common,54.79,100,1,false,0,USD,-0.38181818,787893,1.2008102,1781009858.9999998,USD,8.92011136,6.1423,-17.30437826,0,Producer manufacturing,america,Producer Manufacturing,1.555556
ACLX,"Arcellx, Inc.",arcellx,streaming,stock,common,64.82,100,1,false,0,USD,5.58722919,1143058,2.00214883,3561470820.9999995,USD,,-1.9925,-31.69200264,0,Health technology,america,Health Technology,1.052632
ACM,AECOM,aecom,streaming,stock,common,100.05,100,1,false,0,USD,2.86859963,1907958,1.65774984,13275600035.999998,USD,28.46210742,3.5152,687.10255262,0.91954,Industrial services,america,Industrial Services,1.25
ACMR,"ACM Research, Inc.",acm-research,streaming,stock,common,25.94,100,1,false,0,USD,-0.61302682,1792601,0.77837184,1624566315.0000002,USD,17.00091755,1.5258,31.0261915,0,Producer manufacturing,america,Producer Manufacturing,1.142857
ACN,Accenture plc,accenture,streaming,stock,common,348.5,100,1,false,0,USD,-2.34539188,5768387,2.1964887,217979751923.00003,USD,29.21329477,11.9295,10.55045872,1.58967,Technology services,america,Technology Services,1.392857
ACNB,ACNB Corporation,acnb,streaming,stock,common,40.97,100,1,false,0,USD,0.44128463,34059,1.00030251,433837232,USD,10.98332529,3.7302,0.41185496,3.12424,Finance,america,Finance,1
ACNT,Ascent Industries Co.,ascent-industries-co,streaming,stock,common,11.18,100,1,false,0,USD,-0.0893655,9123,0.39187639,112839364,USD,,-0.1703,95.40821829,0,Non-energy minerals,america,Non-Energy Minerals,
ACOG,Alpha Cognition Inc.,,streaming,stock,common,6.01,100,1,false,0,USD,0.16666667,7577,0.09344446,96278934,USD,,-2.96,20.14460302,0,Finance,america,Finance,
ACON,"Aclarion, Inc.",aclarion-inc,streaming,stock,common,3.35,100,1,false,0,USD,27.37642586,12441101,46.84789751,3403218,USD,,-760.6074,73.89448367,0,Technology services,america,Technology Services,1.5
ACRS,"Aclaris Therapeutics, Inc.",aclaris-therapeutics,streaming,stock,common,1.99,100,1,false,0,USD,2.05128205,1102735,2.24241833,214758458.99999997,USD,,-1.5118,-18.66562009,0,Health technology,america,Health Technology,1.142857
ACRV,"Acrivon Therapeutics, Inc.",acrivon-therapeutics,streaming,stock,common,5.31,100,1,false,0,USD,-0.56179775,21356,0.41338807,165333735.99999997,USD,,-2.7009,-17.53775186,0,Health technology,america,Health Technology,1
