name,description,logoid,update_mode,type,typespecs,dps_common_stock_prim_issue_fy,fundamental_currency_code,dps_common_stock_prim_issue_fq,dividends_yield_current,dividends_yield,dividend_payout_ratio_ttm,dps_common_stock_prim_issue_yoy_growth_fy,continuous_dividend_payout,continuous_dividend_growth
AIRT,"Air T, Inc.",air-t,streaming,stock,common,0,USD,0,0,,0,,0,0
AISP,"Airship AI Holdings, Inc",airship-ai,streaming,stock,common,0,USD,0,0,,,,0,0
AIT,"Applied Industrial Technologies, Inc.",applied-industrial-technologies,streaming,stock,common,1.46,USD,0.46,0.626546,0.73429644,15.89342296,5.03597122,20,14
AITR,AI TRANSPORTATION ACQUISITION CORP,ai-transportation-acquisition,streaming,stock,common,,USD,0,0,,0,,0,0
AIZ,"Assurant, Inc.",assurant,streaming,stock,common,2.96,USD,0.8,1.46231,1.5392756,20.46120666,4.96453901,20,19
AJG,Arthur J. Gallagher & Co.,gallagher,streaming,stock,common,2.4,USD,0.6,0.710606,0.76982296,36.77597303,9.09090909,20,14
AKA,a.k.a. Brands Holding Corp.,aka-brands,streaming,stock,common,0,USD,0,0,,0,,0,0
AKAM,"Akamai Technologies, Inc.",akamai,streaming,stock,common,0,USD,0,0,,0,,0,0
AKAN,Akanda Corp.,akanda-corp,streaming,stock,common,0,USD,0,0,,0,,0,0
AKBA,"Akebia Therapeutics, Inc.",akebia-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
AKRO,"Akero Therapeutics, Inc.",akero-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
AKYA,"Akoya BioSciences, Inc.",akoya-biosciences,streaming,stock,common,0,USD,0,0,,0,,0,0
AL,Air Lease Corporation,air-lease,streaming,stock,common,0.85,USD,0.22,1.77379,1.836394,25.52705868,4.9382716,12,11
ALAB,"Astera Labs, Inc.",astera-labs,streaming,stock,common,0,USD,0,0,,0,,0,0
ALB,Albemarle Corporation,albemarle,streaming,stock,common,1.61,USD,0.405,2.09009,2.1030767,-14.37743903,0.625,20,19
ALBT,Avalon GloboCare Corp.,,streaming,stock,common,0,USD,0,0,,0,,0,0
ALCO,"Alico, Inc.",alico,streaming,stock,common,0.2,USD,0.05,0.680967,0.680967,-3.37900623,0,20,0
ALCY,Alchemy Investments Acquisition Corp 1,alchemy-investments-acquisition-1,streaming,stock,common,0,USD,0,0,,0,,0,0
ALDF,Aldel Financial II Inc.,,streaming,stock,common,0,USD,0,0,,,,0,0
ALDX,"Aldeyra Therapeutics, Inc.",aldeyra-therapeutics,streaming,stock,common,0,USD,,0,,0,,0,0
ALE,"Allete, Inc.",allete,streaming,stock,common,2.82,USD,0.705,4.33095,4.4451213,90.99122354,4.05904059,20,14
ALEC,"Alector, Inc.",alector,streaming,stock,common,0,USD,0,0,,0,,0,0
ALF,Centurion Acquisition Corp.,centurion-acquisition,streaming,stock,common,,USD,0,0,,,,,
ALG,"Alamo Group, Inc.",alamo,streaming,stock,common,1.04,USD,0.26,0.617213,0.6857927,10.79779061,18.18181818,20,10
ALGM,"Allegro MicroSystems, Inc.",allegro-microsystems,streaming,stock,common,0,USD,0,0,,0,,0,0
ALGN,"Align Technology, Inc.",align-technology,streaming,stock,common,0,USD,0,0,,0,,0,0
ALGS,"Aligos Therapeutics, Inc.",aligos-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
ALGT,Allegiant Travel Company,allegiant-travel-company,streaming,stock,common,,USD,,3.26531,3.2653065,0,,1,0
ALHC,"Alignment Healthcare, Inc.",alignment-healthcare,streaming,stock,common,0,USD,0,0,,0,,0,0
ALIT,"Alight, Inc.",alight,streaming,stock,common,0.04,USD,0.04,0.585651,2.342606,-14.97566455,,1,0
ALK,"Alaska Air Group, Inc.",alaska-air,streaming,stock,common,0,USD,0,0,,0,,0,0
ALKS,Alkermes plc,alkermes,streaming,stock,common,0,USD,0,0,,0,,0,0
ALKT,"Alkami Technology, Inc.",alkami-technology,streaming,stock,common,0,USD,0,0,,0,,0,0
ALL,Allstate Corporation (The),allstate,streaming,stock,common,3.68,USD,0.92,1.84785,2.0085363,21.66247741,3.37078652,20,14
ALLE,Allegion plc,allegion-plc,streaming,stock,common,1.92,USD,0.48,1.49173,1.5849583,28.1595119,6.66666667,11,10
ALLK,Allakos Inc.,allakos,streaming,stock,common,0,USD,0,0,,0,,0,0
ALLO,"Allogene Therapeutics, Inc.",allogene-therapeutics,streaming,stock,common,0,USD,0,0,,0,,0,0
ALLR,"Allarity Therapeutics, Inc.",,streaming,stock,common,0,USD,0,0,,0,,0,0
ALLT,Allot Ltd.,allot-ltd,streaming,stock,common,0,USD,0,0,,0,,0,0
ALLY,Ally Financial Inc.,ally,streaming,stock,common,1.2,USD,0.3,3.2345,3.2345016,46.19293248,0,9,0
ALMS,Alumis Inc.,alumis,streaming,stock,common,,USD,0,0,,0,,0,0
ALNT,Allient Inc.,allied-motion,streaming,stock,common,0.115,USD,0.03,0.482315,0.4823151,13.67365542,15,13,3
ALNY,"Alnylam Pharmaceuticals, Inc.",alnylam-pharmaceuticals,streaming,stock,common,0,USD,0,0,,0,,0,0
ALOT,"AstroNova, Inc.",astronova,streaming,stock,common,0,USD,0,0,,0,,0,0
ALRM,"Alarm.com Holdings, Inc.",alarm-com-holdings,streaming,stock,common,0,USD,0,0,,0,,0,0
ALRS,Alerus Financial Corporation,alerus,streaming,stock,common,0.79,USD,0.2,3.87825,3.927344,77.91695433,5.33333333,17,16
ALSN,"Allison Transmission Holdings, Inc.",allison-transmission,streaming,stock,common,1,USD,0.25,0.982801,1.0614251,12.03861989,8.69565217,13,5
ALT,"Altimmune, Inc.",altimmune,streaming,stock,common,0,USD,0,0,,0,,0,0
ALTG,Alta Equipment Group Inc.,alta-equipment-depositary-shares-each-representing-1-1000th-in-a-share-of-10-series-a-cumulative-perpetual-preferred-stock,streaming,stock,common,0.228,USD,0.057,4.16058,4.160584,-13.40388007,100,2,1
ALTI,"AlTi Global, Inc.",alvarium-tiedemann,streaming,stock,common,0,USD,0,0,,0,,0,0
ALTM,Arcadium Lithium plc,livent,streaming,stock,common,0,USD,0,0,,0,,0,0
ALTO,"Alto Ingredients, Inc.",alto-ingredients,streaming,stock,common,0,USD,0,0,,0,,0,0
ALTR,Altair Engineering Inc.,altair-engineering,streaming,stock,common,0,USD,0,0,,0,,0,0
ALTS,ALT5 Sigma Corporation,janone,streaming,stock,common,0,USD,0,0,,0,,0,0
ALUR,"Allurion Technologies, Inc.",,streaming,stock,common,0,USD,0,0,,0,,0,0
ALV,"Autoliv, Inc.",autoliv,streaming,stock,common,2.74,USD,0.7,2.81459,2.87622,33.995459,3.0075188,4,3
ALVO,Alvotech,alvotech,streaming,stock,common,0,USD,0,0,,0,,0,0
ALVR,"AlloVir, Inc.",,streaming,stock,common,0,USD,0,0,,0,,0,0
ALXO,ALX Oncology Holdings Inc.,alx-oncology,streaming,stock,common,0,USD,0,0,,0,,0,0
ALZN,"Alzamend Neuro, Inc.",alzamend-neuro,streaming,stock,common,0,USD,0,0,,0,,0,0
AM,Antero Midstream Corporation,antero-midstream,streaming,stock,common,0.9,USD,0.225,5.30973,5.3097343,109.07768755,0,8,0
AMAL,Amalgamated Financial Corp.,amalgamated-financial,streaming,stock,common,0.46,USD,0.12,1.54083,1.7257318,13.34029349,15,7,3
AMAT,"Applied Materials, Inc.",applied-materials,streaming,stock,common,1.52,USD,0.4,1.01221,1.0122097,20.93117568,24.59016393,20,7
AMBA,"Ambarella, Inc.",ambarella,streaming,stock,common,0,USD,0,0,,0,,0,0
AMBC,"Ambac Financial Group, Inc.",ambac-financial,streaming,stock,common,0,USD,0,0,,0,,0,0
AMBI,Ambipar Emergency Response,ambipar-emergency-response,streaming,stock,common,0,USD,0,0,,,,0,0
AMBP,Ardagh Metal Packaging S.A.,ardagh-metal-packaging-sa,streaming,stock,common,0.4,USD,0.1,13.9373,13.937283,-884.95575221,0,3,0
AMC,"AMC Entertainment Holdings, Inc.",amc-entertainment-holdings,streaming,stock,common,0,USD,0,0,,0,,0,0
AMCR,Amcor plc,amcor,streaming,stock,common,0.4975,USD,0.1275,4.99012,5.039526,91.21437647,2.05128205,5,4
AMCX,AMC Networks Inc.,amc-networks,streaming,stock,common,0,USD,0,0,,0,,0,0
AMD,"Advanced Micro Devices, Inc.",advanced-micro-devices,streaming,stock,common,0,USD,0,0,,0,,0,0
AME,"AMETEK, Inc.",ametek,streaming,stock,common,1.12,USD,0.28,0.591653,0.6550449,18.89561858,12,20,5
AMED,Amedisys Inc,amedisys,streaming,stock,common,0,USD,0,0,,0,,0,0
AMG,"Affiliated Managers Group, Inc.",affiliated-managers,streaming,stock,common,0.04,USD,0.01,0.0234123,0.02341235,0.27243502,0,8,0
AMGN,Amgen Inc.,amgen,streaming,stock,common,9,USD,2.25,2.96371,3.0903072,119.26374515,5.63380282,14,13
AMIX,"Autonomix Medical, Inc.",,streaming,stock,common,0,USD,0,0,,0,,0,0
AMKR,"Amkor Technology, Inc.",amkor-technology,streaming,stock,common,0.31894,USD,0.08269,1.51156,1.567583,22.32847942,5.00082305,5,4
AMLX,"Amylyx Pharmaceuticals, Inc.",amylyx-pharmaceuticals,streaming,stock,common,0,USD,0,0,,0,,0,0
AMN,AMN Healthcare Services Inc,amn-healthcare-services,streaming,stock,common,0,USD,0,0,,0,,0,0
AMOD,"Alpha Modus Holdings, Inc.",,streaming,stock,common,0,USD,0,0,,0,,0,0
AMP,"Ameriprise Financial, Inc.",ameriprise-financial,streaming,stock,common,5.79,USD,1.48,1.10181,1.1018053,17.51096325,9.24528302,20,19
AMPG,"Amplitech Group, Inc.",amplitech,streaming,stock,common,0,USD,0,0,,0,,0,0
AMPH,"Amphastar Pharmaceuticals, Inc.",amphastar-pharmaceuticals,streaming,stock,common,0,USD,0,0,,0,,0,0
AMPL,"Amplitude, Inc.",amplitude,streaming,stock,common,0,USD,0,0,,0,,0,0
AMPS,"Altus Power, Inc.",altus-power,streaming,stock,common,0,USD,0,0,,0,,0,0
AMPX,"Amprius Technologies, Inc.",amprius-technologies,streaming,stock,common,0,USD,0,0,,0,,0,0
AMPY,Amplify Energy Corp.,amplify-energy,streaming,stock,common,0,USD,0,0,,0,,0,0
AMR,"Alpha Metallurgical Resources, Inc.",alpha-metallurgical-resources,streaming,stock,common,,USD,,0.363583,,0,,2,1
AMRC,"Ameresco, Inc.",ameresco,streaming,stock,common,0,USD,0,0,,0,,0,0
